Archivo_Origen,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Veredicto_IA
flujo_Bot_1777193030_ISCX.csv,192.168.1.50-10.0.0.200-56670-443-6,192.168.1.50,56670,10.0.0.200,443,6,26/04/2026 10:43:50 AM,500,1,1,0.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,14000.0,4000.0,500.0,0.0,500.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,2000.0,2000.0,0.0,7.0,2.3333333333333335,4.041451884327381,16.333333333333336,0,1,0,0,1,0,0,0,1.0,3.5,0.0,7.0,0,0,0,0,0,0,0,0,0,3,66,256,0,40,0,0,0,0,1.777193030019662E15,0.0,1.777193030019662E15,1.777193030019662E15,NeedManualLabel,BENIGN
flujo_Bot_1777199030_ISCX.csv,192.168.1.50-10.0.0.200-51719-443-6,192.168.1.50,51719,10.0.0.200,443,6,26/04/2026 12:23:50 PM,60503716,10,9,413.0,168.0,413.0,0.0,41.3,130.60206736495405,45.0,0.0,18.666666666666668,19.28730152198591,9.602715972023933,0.3140302985687689,3361317.5555555555,2813193.2469823896,9243889.0,0.0,6.0503716E7,6722635.111111111,6137959.423896378,1.8157689E7,135660.0,4.5320394E7,5665049.25,3019074.567222581,8698092.0,878293.0,0,0,0,0,328,296,0.16527910450987837,0.14875119405889053,0.0,413.0,29.05,91.70976817628191,8410.681578947371,1,2,0,1,18,0,0,0,0.0,30.57894736842105,41.3,18.666666666666668,0,0,0,0,0,0,0,21,0,8,32187,110,1,32,6388579.0,2590946.5904499074,9335101.0,4466419.0,2.5388558154034638E14,6.717180922460786E14,1.777199030019662E15,5031758.0,NeedManualLabel,BENIGN
flujo_Bot_1777200830_ISCX.csv,192.168.1.50-10.0.0.200-59201-443-6,192.168.1.50,59201,10.0.0.200,443,6,26/04/2026 12:53:50 PM,500,1,1,0.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,14000.0,4000.0,500.0,0.0,500.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,2000.0,2000.0,0.0,7.0,2.3333333333333335,4.041451884327381,16.333333333333336,0,1,0,0,1,0,0,0,1.0,3.5,0.0,7.0,0,0,0,0,0,0,0,0,0,3,66,256,0,40,0,0,0,0,1.777200830019662E15,0.0,1.777200830019662E15,1.777200830019662E15,NeedManualLabel,BENIGN
flujo_Bot_1777206030_ISCX.csv,192.168.1.50-10.0.0.200-62520-443-6,192.168.1.50,62520,10.0.0.200,443,6,26/04/2026 02:20:30 PM,67061,4,2,64.0,64.0,64.0,0.0,16.0,32.0,64.0,0.0,32.0,45.254833995939045,1908.7099804655463,89.47078033432248,13412.2,13202.951154950168,34304.0,1230.0,67061.0,22353.666666666668,12981.778088279485,35534.0,9580.0,48307.0,48307.0,0.0,48307.0,48307.0,0,0,0,0,136,72,59.64718688954832,29.82359344477416,0.0,64.0,18.28571428571429,31.228802334353066,975.2380952380954,1,2,0,1,5,0,0,0,0.0,21.333333333333332,16.0,32.0,0,0,0,0,0,0,0,10,0,10,8232,237,1,32,0,0,0,0,1.777206030019662E15,0.0,1.777206030019662E15,1.777206030019662E15,NeedManualLabel,BENIGN
flujo_Bot_1777209830_ISCX.csv,192.168.1.50-10.0.0.200-59741-443-6,192.168.1.50,59741,10.0.0.200,443,6,26/04/2026 03:23:50 PM,500,1,1,0.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,14000.0,4000.0,500.0,0.0,500.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,2000.0,2000.0,0.0,7.0,2.3333333333333335,4.041451884327381,16.333333333333336,0,1,0,0,1,0,0,0,1.0,3.5,0.0,7.0,0,0,0,0,0,0,0,0,0,3,66,256,0,40,0,0,0,0,1.777209830019662E15,0.0,1.777209830019662E15,1.777209830019662E15,NeedManualLabel,BENIGN
flujo_Bot_1777212830_ISCX.csv,192.168.1.50-10.0.0.200-50795-443-6,192.168.1.50,50795,10.0.0.200,443,6,26/04/2026 04:13:50 PM,88670,3,3,83.0,105.0,83.0,0.0,27.666666666666668,47.92007234273894,68.0,0.0,35.0,34.044089061098404,2120.2210443216422,67.66662907409496,17734.0,27663.925010742783,66651.0,1551.0,69836.0,34918.0,47070.6842100261,68202.0,1634.0,87119.0,43559.5,45309.28121809041,75598.0,11521.0,0,0,0,0,104,104,33.83331453704748,33.83331453704748,0.0,83.0,26.857142857142858,36.13137404633528,1305.4761904761906,1,2,0,1,5,0,0,0,1.0,31.333333333333332,27.666666666666668,35.0,0,0,0,0,0,0,0,13,0,17,8231,237,1,32,0,0,0,0,1.777212830019662E15,0.0,1.777212830019662E15,1.777212830019662E15,NeedManualLabel,BENIGN
flujo_Bot_1777222030_ISCX.csv,192.168.1.50-10.0.0.200-55170-443-6,192.168.1.50,55170,10.0.0.200,443,6,26/04/2026 06:47:10 PM,500,1,1,0.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,14000.0,4000.0,500.0,0.0,500.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,2000.0,2000.0,0.0,7.0,2.3333333333333335,4.041451884327381,16.333333333333336,0,1,0,0,1,0,0,0,1.0,3.5,0.0,7.0,0,0,0,0,0,0,0,0,0,3,66,237,0,40,0,0,0,0,1.777222030019662E15,0.0,1.777222030019662E15,1.777222030019662E15,NeedManualLabel,BENIGN
flujo_Bot_1777228230_ISCX.csv,192.168.1.50-10.0.0.200-62003-443-6,192.168.1.50,62003,10.0.0.200,443,6,26/04/2026 08:30:30 PM,500,1,1,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,10000.0,4000.0,500.0,0.0,500.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,2000.0,2000.0,0.0,5.0,1.6666666666666667,2.886751345948129,8.333333333333334,0,1,0,0,1,0,0,0,1.0,2.5,0.0,5.0,0,0,0,0,0,0,0,0,0,2,256,16393,0,40,0,0,0,0,1.777228230019662E15,0.0,1.777228230019662E15,1.777228230019662E15,NeedManualLabel,BENIGN
flujo_Bot_1777229430_ISCX.csv,192.168.1.50-10.0.0.200-64390-443-6,192.168.1.50,64390,10.0.0.200,443,6,26/04/2026 08:50:30 PM,500,1,1,0.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,14000.0,4000.0,500.0,0.0,500.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,2000.0,2000.0,0.0,7.0,2.3333333333333335,4.041451884327381,16.333333333333336,0,1,0,0,1,0,0,0,1.0,3.5,0.0,7.0,0,0,0,0,0,0,0,0,0,3,66,256,0,40,0,0,0,0,1.777229430019662E15,0.0,1.777229430019662E15,1.777229430019662E15,NeedManualLabel,BENIGN
flujo_Bot_1777241430_ISCX.csv,192.168.1.50-10.0.0.200-52502-443-6,192.168.1.50,52502,10.0.0.200,443,6,27/04/2026 12:10:30 AM,63128,4,2,150.0,31.0,100.0,0.0,37.5,47.871355387816905,31.0,0.0,15.5,21.920310216782973,2867.1904701558738,95.04498796096819,12625.6,13731.099220382905,34771.0,1264.0,63128.0,21042.666666666664,16607.646562151225,36035.0,3191.0,51452.0,51452.0,0.0,51452.0,51452.0,0,0,0,0,136,72,63.363325307312124,31.681662653656062,0.0,100.0,25.857142857142854,38.25540733643011,1463.4761904761906,1,2,0,1,5,0,0,0,0.0,30.166666666666668,37.5,15.5,0,0,0,0,0,0,0,25,0,5,8232,237,2,32,0,0,0,0,1.777241430019662E15,0.0,1.777241430019662E15,1.777241430019662E15,NeedManualLabel,BENIGN
